$WAX9,29:57.4,1,314.568726,0.126953,-0.447266,0.87793,1119.579956,457.100006,246.119995,-157.199997,114,-181.900009,,,,0.993441002
$WAX9,29:57.6,2,314.668732,0.12793,-0.450195,0.878906,-12.81,9.1,6.79,-161.199997,121.400002,-167.800003,,,,
$WAX9,29:57.6,3,314.768738,0.128906,-0.450195,0.874023,-13.93,5.67,9.45,-160.900009,121.900002,-167.100006,,,,
$WAX9,29:57.7,4,314.868744,0.124023,-0.454102,0.881836,3.5,-5.81,4.27,-160.699997,121.900002,-167.300003,,,,
$WAX9,29:57.9,5,314.96875,0.129883,-0.453125,0.87793,3.01,-1.33,-0.98,-162.100006,121.599998,-167.800003,,,,
$WAX9,29:57.9,6,315.068726,0.12793,-0.452148,0.875,1.89,-1.05,-0.84,-161.199997,122.200005,-167.400009,,,,
$WAX9,29:58.0,7,315.168732,0.129883,-0.451172,0.879883,1.75,-0.63,-0.42,-161.800003,121.700005,-167.400009,3.738,27.1,97497,
$WAX9,29:58.1,8,315.268738,0.125,-0.456055,0.875977,1.33,-0.7,-0.84,-161.300003,121.700005,-166.300003,,,,
$WAX9,29:58.3,9,315.368744,0.126953,-0.457031,0.880859,1.54,-0.77,-0.56,-161.100006,121.700005,-166.400009,,,,
$WAX9,29:58.4,10,315.46875,0.132813,-0.449219,0.876953,1.05,-0.35,-0.77,-161.199997,121.900002,-167.199997,,,,
$WAX9,29:58.4,11,315.568726,0.131836,-0.454102,0.880859,1.12,-0.7,-0.49,-161.400009,121.800003,-167.800003,,,,
$WAX9,29:58.5,12,315.668732,0.129883,-0.453125,0.881836,1.12,-0.56,-1.19,-161.199997,121.900002,-168.5,,,,
$WAX9,29:58.7,13,315.768738,0.128906,-0.451172,0.879883,0.35,0.42,-1.89,-161.900009,122.099998,-168.300003,,,,
$WAX9,29:58.7,14,315.868744,0.128906,-0.452148,0.87793,0.49,-0.77,-0.49,-161.900009,121.900002,-167,,,,
$WAX9,29:58.8,15,315.96875,0.12793,-0.451172,0.880859,0.14,-0.07,-0.7,-161.400009,122.400002,-167.199997,,,,
$WAX9,29:59.0,16,316.068726,0.126953,-0.451172,0.87793,-0.14,-0.07,-0.77,-161.199997,121.800003,-167.5,,,,
$WAX9,29:59.0,17,316.168732,0.12793,-0.453125,0.884766,-0.42,-0.77,-0.91,-161.100006,121.400002,-168.199997,,,,
$WAX9,29:59.1,18,316.268738,0.130859,-0.450195,0.87793,1.05,-0.42,-0.7,-161.100006,121.200005,-167.900009,,,,
$WAX9,29:59.2,19,316.368744,0.126953,-0.450195,0.87793,-0.07,-0.21,-0.7,-161.199997,121.700005,-167.5,3.738,32.9,99195,
$WAX9,29:59.4,20,316.46875,0.129883,-0.449219,0.879883,0.14,-0.42,-0.84,-162,122,-167.5,,,,
$WAX9,29:59.5,21,316.568726,0.12793,-0.449219,0.876953,0.21,-0.7,-0.77,-161.600006,121.800003,-168.400009,,,,
$WAX9,29:59.5,22,316.668732,0.12793,-0.448242,0.881836,0.07,0,-0.91,-162.100006,122.400002,-168.900009,,,,
$WAX9,29:59.7,23,316.768738,0.128906,-0.452148,0.875,-0.21,-0.42,-1.12,-162.100006,121.400002,-168.699997,,,,
$WAX9,29:59.7,24,316.868744,0.12793,-0.444336,0.876953,-0.84,-0.14,-1.19,-160.900009,122.099998,-167.699997,,,,
$WAX9,29:59.9,25,316.96875,0.125977,-0.450195,0.876953,-0.98,-0.21,-0.42,-161.300003,121.599998,-167.900009,,,,
$WAX9,30:00.0,26,317.068726,0.131836,-0.448242,0.874023,-0.35,-0.63,-1.12,-161,122,-167.900009,,,,
