$WAX9,35:24.8,1,2117.805481,-0.121094,0.969727,-0.145508,-12.11,7.84,7.91,-140.100006,39.299999,-132,4.154,33.7,101186
$WAX9,35:25.0,2,2117.905487,-0.123047,0.981445,-0.137695,-14.21,6.02,8.96,-140.100006,38.799999,-128.5,,,
$WAX9,35:25.0,3,2118.005493,-0.113281,0.976563,-0.143555,2.52,-0.91,3.29,-139,38.600002,-128.800003,,,
$WAX9,35:25.1,4,2118.105499,-0.131836,0.978516,-0.140625,-1.47,9.8,-1.82,-139.600006,38.900002,-131.100006,,,
$WAX9,35:25.3,5,2118.205505,-0.143555,0.990234,-0.140625,-3.43,4.34,-4.06,-139.5,38.900002,-129.800003,,,
$WAX9,35:25.3,6,2118.305481,-0.134766,0.985352,-0.133789,-1.26,0.28,-3.43,-140.100006,38.600002,-130.5,,,
$WAX9,35:25.4,7,2118.405487,-0.143555,0.976563,-0.136719,2.24,1.19,-1.33,-139.800003,38.900002,-129.600006,,,
$WAX9,35:25.5,8,2118.505493,-0.138672,0.982422,-0.129883,1.89,-0.07,0,-140.400009,38.100002,-130.699997,4.142,33.8,101182
$WAX9,35:25.6,9,2118.605499,-0.125977,0.988281,-0.124023,-0.21,1.4,-1.33,-140.199997,38.600002,-131.199997,,,
$WAX9,35:25.7,10,2118.705505,-0.12793,0.981445,-0.136719,0.14,-1.12,-1.05,-140,38.299999,-130.400009,,,
$WAX9,35:25.9,11,2118.805481,-0.129883,0.993164,-0.155273,6.93,-5.25,0.14,-140.199997,38.600002,-131.199997,,,
$WAX9,35:25.9,12,2118.905487,-0.12207,0.981445,-0.137695,2.31,-1.96,-0.42,-140.600006,39,-130.600006,,,
$WAX9,35:26.0,13,2119.005493,-0.128906,0.980469,-0.141602,-0.7,0.56,-0.49,-140.600006,39.200001,-129.100006,,,
$WAX9,35:26.1,14,2119.105499,-0.121094,0.977539,-0.144531,-2.66,0.91,-0.91,-140.699997,39.400002,-129,,,
$WAX9,35:26.2,15,2119.205505,-0.123047,0.990234,-0.137695,0.07,-0.21,-1.47,-140.699997,38.900002,-129.100006,,,
$WAX9,35:26.3,16,2119.305481,-0.137695,0.990234,-0.137695,-0.21,-0.91,-0.42,-140.100006,38.100002,-130.199997,,,
$WAX9,35:26.4,17,2119.405487,-0.138672,0.982422,-0.128906,-0.35,-2.1,0.14,-140.199997,38.700001,-130.600006,,,
$WAX9,35:26.5,18,2119.505493,-0.125977,0.986328,-0.132813,-0.14,-1.12,-0.91,-141,38.600002,-130.699997,,,
$WAX9,35:26.6,19,2119.605499,-0.129883,0.984375,-0.129883,-1.47,-0.42,-0.49,-140.300003,39.100002,-129.900009,,,
$WAX9,35:26.7,20,2119.705505,-0.110352,0.984375,-0.135742,-0.91,0.7,-1.75,-140.699997,39.5,-127.700005,4.13,33.8,101181
