0.987, 0.003, 0.003, 9677.365, 9825.952, false
0.987, 0.004, 0.004, 9674.012, 9826.562, false
0.985, 0.003, 0.003, 9657.251, 9813.580, false
0.984, 0.002, 0.002, 9649.110, 9801.554, false
0.984, 0.002, 0.002, 9648.153, 9803.187, false
0.984, 0.002, 0.002, 9646.238, 9799.963, false
0.985, 0.003, 0.003, 9661.082, 9808.479, false
0.986, 0.003, 0.003, 9670.659, 9820.478, false
0.985, 0.002, 0.002, 9666.350, 9815.887, false
0.986, 0.002, 0.002, 9669.224, 9816.715, false
0.986, 0.004, 0.004, 9671.617, 9820.216, false
0.987, 0.003, 0.004, 9674.490, 9820.597, false
0.986, 0.003, 0.003, 9669.222, 9812.563, false
0.986, 0.002, 0.002, 9667.308, 9811.024, false
0.986, 0.002, 0.002, 9674.013, 9815.730, false
0.986, 0.002, 0.002, 9668.745, 9807.789, false
0.987, 0.004, 0.004, 9679.279, 9817.986, false
0.988, 0.003, 0.003, 9689.814, 9829.573, false
0.988, 0.002, 0.002, 9684.066, 9821.834, false
0.956, 0.131, 0.147, 9364.711, 9782.322, true
0.996, 0.151, 0.155, 9764.550, 10203.188, true
0.989, 0.133, 0.121, 9791.803, 10071.768, true
1.009, 0.110, 0.112, 9920.092, 10044.044, true
0.992, 0.120, 0.123, 9744.821, 9941.438, true
0.972, 0.118, 0.119, 9341.636, 9555.674, true
0.951, 0.134, 0.124, 9288.020, 9515.776, true
0.950, 0.139, 0.126, 9149.650, 9450.490, true
0.975, 0.140, 0.130, 9569.639, 9911.243, true
1.004, 0.152, 0.155, 9857.484, 10231.543, true
1.019, 0.132, 0.144, 10067.194, 10296.843, true
1.014, 0.127, 0.128, 9990.540, 10116.764, true
1.011, 0.109, 0.113, 9941.687, 10159.624, true
1.010, 0.085, 0.089, 9881.823, 10111.333, true
0.973, 0.086, 0.086, 9424.501, 9655.560, true
0.982, 0.139, 0.143, 9512.633, 9844.444, true
1.013, 0.168, 0.176, 9882.833, 10207.094, true
1.044, 0.154, 0.162, 10264.030, 10506.294, true
1.045, 0.154, 0.157, 10330.085, 10582.897, true
0.112, 0.025, 0.014, 1389.137, 11717.445, false
0.118, 0.017, 0.012, 1437.974, 11671.440, false
0.113, 0.006, 0.010, 1101.811, 9744.745, false
0.116, 0.007, 0.003, 1142.513, 9754.198, false
0.122, 0.003, 0.002, 1203.326, 9761.016, false
0.123, 0.003, 0.002, 1208.114, 9760.544, false
0.122, 0.003, 0.002, 1197.581, 9767.601, false
0.121, 0.002, 0.002, 1191.354, 9759.372, false
0.122, 0.002, 0.002, 1194.227, 9757.358, false
0.122, 0.003, 0.003, 1199.497, 9766.675, false
0.122, 0.003, 0.003, 1195.187, 9766.946, false
0.120, 0.003, 0.003, 1175.555, 9762.821, false
0.119, 0.002, 0.002, 1162.626, 9764.190, false
0.119, 0.003, 0.002, 1170.764, 9763.938, false
0.121, 0.003, 0.002, 1192.790, 9755.857, false
0.123, 0.003, 0.002, 1203.326, 9758.060, false
0.121, 0.003, 0.002, 1189.441, 9757.217, false
0.120, 0.003, 0.002, 1180.342, 9757.331, false
0.120, 0.003, 0.002, 1173.638, 9764.764, false
